Player,Pos'n,Age 7/1/24,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Wacha, Michael",rhp-s,33,,SDN,KCA,2,"$32,000,000 ",2024-25,player,,"$16,000,000",CAA,John Sherman,J.J. Picollo,
"López, Reynaldo",rhp,30,,CLE,ATL,3,"$30,000,000 ",2024-26,club,,"$10,000,000",CAA,Braves Holdings,Alex Anthopoulos,
"Manaea, Sean",lhp-s,32,,SFN,NYN,2,"$28,000,000 ",2024-25,,Y,"$14,000,000",Boras Corp.,Steve Cohen,David Stearns,
"Martinez, Nick",rhp-s,33,,SDN,CIN,2,"$26,000,000 ",2024-25,,Y,"$13,000,000",Boras Corp.,Bob Castellini,NKrall / BMeador,
"Montgomery, Jordan",lhp-s,31,,TEX,ARI,1,"$25,000,000 ",2024,vesting,,"$25,000,000",Boras Corp.,Ken Kendrick,Mike Hazen,
"Garver, Mitch",c-dh,33,,TEX,SEA,2,"$24,000,000 ",2024-25,mutual,,"$12,000,000",ISE,John Stanton,J Dipoto / J Hollander,
"Maeda, Kenta",rhp-s,36,,MIN,DET,2,"$24,000,000 ",2024-25,,,"$12,000,000",Boras Corp.,Chris Ilitch,SHarris / JGreenberg,
"Hernández, Teoscar",rf,31,,SEA,LAN,1,"$23,500,000 ",2024,,,"$23,500,000",Republik Spts,Mark Walter,AFriedman / BGomes,
"Mahle, Tyler",rhp-s,29,,MIN,TEX,2,"$22,000,000 ",2024-25,,,"$11,000,000",ISE,RDavis/BSimpson,Chris Young,
"Peralta, Wandy",lhp,32,,NYA,SDN,4,"$16,500,000 ",2024-27,,Y,"$16,500,000",MAS+,Seidler family,A.J. Preller,
"Montas, Frankie",rhp-s,31,,NYA,CIN,1,"$16,000,000 ",2024,mutual,,"$16,000,000",Boras Corp.,Bob Castellini,NKrall / BMeador,
"Pagán, Emilio",rhp,33,,MIN,CIN,2,"$16,000,000 ",2024-25,player,,"$8,000,000",Ballengee,Bob Castellini,NKrall / BMeador,
"Kiner-Falefa, Isiah",ss,29,,NYA,TOR,2,"$15,000,000 ",2024-25,,,"$7,500,000",ALIGND,Edward Rogers,MShapiro/RAtkins,
"Flaherty, Jack",rhp-s,28,,BAL,DET,1,"$14,000,000 ",2024,,,"$14,000,000",CAA,Chris Ilitch,SHarris / JGreenberg,
"Gibson, Kyle",rhp-s,36,,BAL,STL,1,"$13,000,000 ",2024,club,,"$13,000,000",Rowley Spts,Bill DeWitt Jr.,JMozeliak / MGirsh,
"Kimbrel, Craig",rhp-c,36,,PHI,BAL,1,"$13,000,000 ",2024,club,,"$13,000,000",SportsMeter,John Angelos,Mike Elias,
"Severino, Luis",rhp-s,30,,NYA,NYN,1,"$13,000,000 ",2024,,,"$13,000,000",Rep 1,Steve Cohen,David Stearns,
"Turner, Justin",dh-3b,39,,BOS,TOR,1,"$13,000,000 ",2024,,,"$13,000,000",Vayner Spts,Edward Rogers,MShapiro/RAtkins,
"Pederson, Joc",lf,32,,SFN,ARI,1,"$12,500,000 ",2024,mutual,,"$12,500,000",Excel,Ken Kendrick,Mike Hazen,
"Caratini, Victor",c,30,,MIL,HOU,2,"$12,000,000 ",2024-25,,,"$6,000,000",ACES,Jim Crane,Dana Brown,
"Martinez, J.D.",dh-rf,36,,LAN,NYN,1,"$12,000,000 ",2024,,,"$8,966,565",Boras Corp.,Steve Cohen,David Stearns,
"Robertson, David",rhp-c,39,,MIA,TEX,1,"$11,500,000 ",2024,mutual,,"$11,500,000",self-represented,RDavis/BSimpson,Chris Young,
"Lynn, Lance",rhp-s,37,,LAN,STL,1,"$11,000,000 ",2024,club,,"$11,000,000",Headline Spts,Bill DeWitt Jr.,JMozeliak / MGirsh,
"Bader, Harrison",cf,30,,CIN,NYN,1,"$10,500,000 ",2024,,,"$10,500,000",Vayner Spts,Steve Cohen,David Stearns,
"Chapman, Aroldis",lhp,36,,TEX,PIT,1,"$10,500,000 ",2024,,,"$10,500,000",Wasserman,Bob Nutting,Ben Cherington,
"Kiermaier, Kevin",cf,34,,TOR,TOR,1,"$10,500,000 ",2024,,,"$10,500,000",Equity Baseball,Edward Rogers,MShapiro/RAtkins,
"Hendriks, Liam",rhp-c,35,,CHA,BOS,2,"$10,000,000 ",2024-25,mutual,,"$5,000,000",ALIGND,John Henry,Craig Breslow,
"Kershaw, Clayton",lhp-s,36,,LAN,LAN,2,"$10,000,000 ",2024-25,player,,"$5,000,000",Excel,Mark Walter,AFriedman / BGomes,
"Brasier, Ryan",rhp,36,,LAN,LAN,2,"$9,000,000 ",2024-25,,,"$4,500,000",ALIGND,Mark Walter,AFriedman / BGomes,
"Heyward, Jason",rf-cf,34,,LAN,LAN,1,"$9,000,000 ",2024,,,"$9,000,000",Excel,Mark Walter,AFriedman / BGomes,
"Neris, Hector",rhp,35,,HOU,CHN,1,"$9,000,000 ",2024,club,,"$9,000,000",Octagon,Tom Ricketts,JHoyer / CHawkins,
"Miley, Wade",lhp-s,37,,MIL,MIL,1,"$8,500,000 ",2024,mutual,,"$8,500,000",O'Connell Spts,Mark Attanasio,Matt Arnold,
"Wood, Alex",lhp-s,33,,SFN,OAK,1,"$8,500,000 ",2024,,,"$8,500,000",ACES,John Fisher,David Forst,
"Murphy, Tom",c,33,,SEA,SFN,2,"$8,250,000 ",2024-25,club,,"$4,125,000",Ballengee,Greg Johnson,F Zaidi / P Putila,
"Kelly, Joe",rhp,36,,LAN,LAN,1,"$8,000,000 ",2024,,,"$8,000,000",ACES,Mark Walter,AFriedman / BGomes,
"Merrifield, Whit",2b,35,,TOR,PHI,1,"$8,000,000 ",club,,,"$8,000,000",Warner Cos.,John Middleton,DDombrowski / SFuld,
"Pérez, Martín",lhp-s,33,,TEX,PIT,1,"$8,000,000 ",2024,,,"$8,000,000",OL Baseball,Bob Nutting,Ben Cherington,
"Stratton, Chris",rhp,33,,TEX,KCA,2,"$8,000,000 ",2024-25,player,,"$4,000,000",Bo McKinnis,John Sherman,J.J. Picollo,
"Junis, Jakob",rhp-s,31,,SFN,MIL,1,"$7,000,000 ",,,,"$7,000,000",Wasserman,Mark Attanasio,Matt Arnold,
"Paxton, James",lhp-s,35,,BOS,LAN,1,"$7,000,000 ",2024,,,"$7,000,000",Boras Corp.,Mark Walter,AFriedman / BGomes,
"Maton, Phil",rhp,31,,HOU,TBA,1,"$6,500,000 ",2024,club,,"$6,500,000",Paragon,Stuart Sternberg,Erik Neander,
"Middleton, Keynan",rhp,29,,NYA,STL,1,"$6,000,000 ",2024,club,,"$6,000,000",ACES,Bill DeWitt Jr.,JMozeliak/MGirsh,
"Brebbia, John",rhp,34,,SFN,CHA,1,"$5,500,000 ",2024,mutual,,"$5,500,000",Icon Spts,Jerry Reinsdorf,Chris Getz,
"Santana, Carlos",1b-dh,38,,MIL,MIN,1,"$5,250,000 ",2024,,,"$5,250,000",Octagon,Jim Pohlad,DFalvey /TLevine,
"Anderson, Tim",ss,31,,CHA,MIA,1,"$5,000,000 ",2024,,,"$5,000,000",Excel,Bruce Sherman,Peter Bendix,
"Gallo, Joey",rf,30,,MIN,WAS,1,"$5,000,000 ",2024,mutual,,"$5,000,000",Boras Corp.,Mark Lerner,Mike Rizzo,
"McCutchen, Andrew",rf,37,,PIT,PIT,1,"$5,000,000 ",2024,,,"$5,000,000",Aegis Spts,Bob Nutting,Ben Cherington,
"Smith, Will",lhp,34,,TEX,KCA,1,"$5,000,000 ",2024,,,"$5,000,000",CAA,John Sherman,J.J. Picollo,
"Chafin, Andrew",lhp,34,,MIL,DET,1,"$4,750,000 ",2024,club,,"$4,750,000",Meister Spts,Chris Ilitch,SHarris / JGreenberg,
"Frazier, Adam",2b-of,32,,BAL,KC,1,"$4,500,000 ",2024,mutual,,"$4,500,000",Bo McKinnis,John Sherman,J.J. Picollo,
"Lorenzen, Michael",rhp-s,32,,PHI,TEX,1,"$4,500,000 ",2024,,,"$4,500,000",CAA,RDavis/BSimpson,Chris Young,
"Ottavino, Adam",rhp-s,30,,NYN,NYN,1,"$4,500,000 ",2024,mutual,,"$4,500,000",All Bases Covered,Steve Cohen,David Stearns,
"Rea, Colin",rhp,34,,MIL,MIL,1,"$4,500,000 ",2024,club,,"$4,500,000",Sterling Spts,Mark Attanasio,Matt Arnold,
"Yates, Kirby",rhp,37,,ATL,TEX,1,"$4,500,000 ",2024,,,"$4,500,000",Beverly Hills SC,RDavis/BSimpson,Chris Young,
"García, Luis",rhp,37,,SDN,ANA,1,"$4,250,000 ",2024,,,"$4,250,000",Reynolds Sports,Arturo Moreno,Perry Minasian,
"Maldonado, Martín",c,37,,HOU,CHA,1,"$4,250,000 ",2024,vesting,,"$4,250,000",MVP Sports,Jerry Reinsdorf,Chris Getz,
"Diekman, Jake",lhp,38,,TBA,NYN,1,"$4,000,000 ",2024,club,,"$4,000,000",Beverly Hills SC,Steve Cohen,David Stearns,
"Hedges, Austin",c,31,,TEX,CLE,1,"$4,000,000 ",2024,,,"$4,000,000",Boras Corp.,Paul Dolan,Antonetti/Chernoff,
"Hernández, Kiké",ss,32,,LAN,LAN,1,"$4,000,000 ",2024,,,"$4,000,000",Wasserman,Mark Walter,AFriedman / BGomes,
"Stanek, Ryne",rhp,32,,HOU,SEA,1,"$4,000,000 ",2024,,,"$4,000,000",MVP Spts,John Stanton,J Dipoto / J Hollander,
"Taylor, Michael A.",cf,33,,MIN,PIT,1,"$4,000,000 ",2024,,,"$4,000,000",ALIGND,Bob Nutting,Ben Cherington,
"Fujinami, Shintaro",rhp-s,30,,BAL,NYN,1,"$3,350,000 ",2024,,,"$3,350,000",Boras Corp.,Steve Cohen,David Stearns,
"Miller, Shelby",rhp-s,33,,LAN,DET,1,"$3,250,000 ",2024,club,,"$3,250,000",Excel,Chris Ilitch,SHarris / JGreenberg,
"Clevinger, Mike",rhp-s,33,,CHA,CHA,1,"$3,000,000 ",2024,,,"$3,000,000",ACES,Jerry Reinsdorf,Chris Getz,
"Duvall, Adam",cf,35,,BOS,ATL,1,"$3,000,000 ",2024,,,"$3,000,000",CAA,Braves Holdings,Alex Anthopoulos,
"Sanchez, Gary",c,31,,SDN,MIL,1,"$3,000,000 ",2024,mutual,,"$3,000,000",MDR Spts,Mark Attanasio,Matt Arnold,
"Suter, Brent",lhp,34,,COL,CIN,1,"$3,000,000 ",2024,club,,"$3,000,000",Diamond Spts,Bob Castellini,NKrall / BMeador,
"Grandal, Yasmani",c,35,,CHA,PIT,1,"$2,500,000 ",2024,,,"$2,500,000",Wasserman,Bob Nutting,Ben Cherington,
"Alexander, Scott",lhp,34,,SFN,OAK,1,"$2,250,000 ",2024,,,"$2,250,000",Apex,John Fisher,David Forst,
"Farmer, Buck",rhp,33,,CIN,CIN,1,"$2,250,000 ",2024,,,"$2,250,000",Excel,Bob Castellini,NKrall / BMeador,
"Crawford, Brandon",ss,37,,SFN,STL,1,"$2,000,000 ",2024,,,"$2,000,000",Wasserman,Bill DeWitt Jr.,JMozeliak/MGirsh,
"Grichuk, Randal",cf,32,,ANA,ARI,1,"$2,000,000 ",2024,mutual,,"$2,000,000",Excel,Ken Kendrick,Mike Hazen,
"Weaver, Luke",rhp,30,,NYA,NYA,1,"$2,000,000 ",2024,club,,"$2,000,000",Boras Corp.,Hal Steinbrenner,Brian Cashman,
"Wendle, Joey",ss,34,,MIA,NYN,1,"$2,000,000 ",2024,,,"$2,000,000",Octagon,Steve Cohen,David Stearns,
"Cisnero, José",rhp,35,,DET,ANA,1,"$1,750,000 ",2024,,,"$1,750,000",,Arturo Moreno,Perry Minasian,
"Flexen, Chris",rhp-s,30,,COL,CHA,1,"$1,750,000 ",2024,,,"$1,750,000",O'Connell Spts,Jerry Reinsdorf,Chris Getz,
"Jankowski, Travis",cf,33,,TEX,TEX,1,"$1,700,000 ",2024,,,"$1,700,000",Excel,RDavis/BSimpson,Chris Young,
"Jackson, Jay",rhp,36,,TOR,MIN,1,"$1,500,000 ",2024,club,,"$1,500,000",Nello Gamberdino,Jim Pohlad,DFalvey /TLevine,
"Rosario, Amed",ss,28,,LAN,TBA,1,"$1,500,000 ",2024,,,"$1,500,000",Octagon,Stuart Sternberg,Erik Neander,
"Urshela, Gio",ss,32,,ANA,DET,1,"$1,500,000 ",2024,,,"$1,500,000",Rep 1,Chris Ilitch,SHarris / JGreenberg,
"Devenski, Chris",rhp,33,,TBA,TBA,1,"$1,100,000 ",2024,club,,"$1,100,000",MVP Sports,Stuart Sternberg,Erik Neander,
"Profar, Jurickson",lf,31,,SDN,SDN,1,"$1,000,000 ",2024,,,"$1,000,000",Boras Corp.,Seidler family,A.J. Preller,
"Hicks, Aaron",lf,34,,BAL,ANA,1,"$740,000 ",2024,,,"$740,000",CAA,Arturo Moreno,Perry Minasian,
,,,,,,,,,,,,,,,
"Anderson, Chase",rhp-s,36,,COL,PIT,0,,2024,,,,Hub Spts,Bob Nutting,Ben Cherington,
"Andrus, Elvis",2b,35,,CHA,ARI,0,,2024,,,,Boras Corp.,Ken Kendrick,Mike Hazen,
"Barnes, Matt",rhp,34,,MIA,WAS,0,,2024,,,,ISE,Mark Lerner,Mike Rizzo,
"Carrasco, Carlos",rhp-s,37,,NYN,CLE,0,,2024,,,,ACES,Steven Cohen,David Stearns,
"Casali, Curt",cf,35,,CIN,MIA,0,,2024,,,,Beverly Hills SC,Bruce Sherman,Peter Bendix,
"Chavez, Jesse",rhp,36,,ATL,CHA,0,,2024,,,,Apex,Jerry Reinsdorf,Chris Getz,
"Choi, Ji Man",dh-1b,33,,SDN,NYN,0,,2024,,,,Sang Lee,Steven Cohen,David Stearns,
"Cooper, Garrett",1b,33,,SDN,CHN,0,,2024,,,,Ballengee,Tom Ricketts,JHoyer / CHawkins,
"Cron, C.J.",1b,34,,ANA,BOS,0,,2024,,,,Moye Sports,John Henry,Craig Breslow,
"Cueto, Johnny",rhp-s,38,,MIA,TEX,0,,2024,,,,Bryce Dixon,RDavis/BSimpson,Chris Young,
"Duffey, Tyler",rhp,33,,CHN,KCA,0,,2024,,,,Ballengee,John Sherman,J.J. Picollo,
"Duffy, Matt",ss,33,,KCA,TEX,0,,2024,,,,TWC Spts,RDavis/BSimpson,Chris Young,
"Edwards, Carl",rhp,32,,WAS,CHN,0,,2024,,,,Ballengee,Tom Ricketts,JHoyer / CHawkins,
"Escobar, Eduardo",3b,35,,ANA,TOR,0,,2024,,,,DJ Rengifo,Edward Rogers,MShapiro/RAtkins,
"Fulmer, Michael",rhp,31,,CHN,BOS,0,,2024,,,,BBI Spts,John Henry,Craig Breslow,
"Grossman, Robbie",lf,34,,TEX,CHA,0,,2024,,,,Lagardere Spts,Jerry Reinsdorf,Chris Getz,
"Greene, Shane",rhp,35,,CHN,TEX,0,,2024,,,,Ballengee,RDavis/BSimpson,Chris Young,
"Gurriel, Yuli",1b,40,,MIA,ATL,0,,2024,,,,Magnus Spts,"Atl Braves Holdings, Inc",Alex Anthopoulos,
"Hudson, Daniel",rhp,37,,LAN,LAN,0,,2024,,,,Wasserman,Mark Walter,AFriedman / BGomes,
"Keller, Brad",rhp-s,28,,KCA,CHA,0,,2024,,,,Excel,Jerry Reinsdorf,Chris Getz,
"Kemp, Tony",2b,32,,OAK,CIN,0,,2024,,,,Ballengee,Bob Castellini,NKrall / BMeador,
"Keuchel, Dallas",lhp-s,36,,MIN,SEA,0,,2024,,,,Boras Corp.,John Stanton,J Dipoto / J Hollander,
"Leone, Dominic",rhp,32,,SEA,CHA,0,,2024,,,,Frye McCann,Jerry Reinsdorf,Chris Getz,
"Marisnick, Jake",cf,33,,LAN,ANA,0,,2024,,,,Equity Baseball,Arturo Moreno,Perry Minasian,
"Miller, Brad",dh-inf,34,,TEX,SDN,0,,2024,,,,ISE,Seidler family,A.J. Preller,
"Moustakas, Mike",3b,35,,ANA,CHA,0,,2024,,,,Boras Corp.,Jerry Reinsdorf,Chris Getz,
"Odorizzi, Jake",rhp-s,34,,TEX,TBA,0,,2024,,,,Excel,Stuart Sternberg,Erik Neander,
"Peralta, David",lf,36,,LAN,CHN,0,,2024,,,,ACES,Tom Ricketts,JHoyer / CHawkins,
"Pérez, Roberto",c,35,,SFN,BOS,0,,2024,,,,MDR Spts,John Henry,Craig Breslow,
"Pham, Tommy",of,36,,ARI,CHA,0,,2024,,,,Vayner Spts,Jerry Reinsdorf,Chris Getz,
"Pillar, Kevin",cf,35,,ATL,CHA,0,,2024,,,,All Bases Covered,Jerry Reinsdorf,Chris Getz,
"Pomeranz, Drew",lhp,35,,SDN,ANA,0,,2024,,,,CAA,Arturo Moreno,Perry Minasian,
"Rodriguez, Joely",lhp,32,,BOS,BOS,0,,2024,,,,LA Spts Mgt,John Henry,Craig Breslow,
"Rosario, Eddie",lf,32,,ATL,WAS,0,,2024,,,,Roc Nation,Mark Lerner,Mike Rizzo,
"Shaw, Bryan",rhp,36,,CHA,CHA,0,,2024,,,,Rowley Spts,Jerry Reinsdorf,Chris Getz,
"Solano, Donovan",2b-3b,36,,MIN,SDN,0,,2024,,,,MDR Sports,Seidler family,A.J. Preller,
"Votto, Joey",1b,40,,CIN,TOR,0,,2024,,,,MVP Spts,Edward Rogers,MShapiro/RAtkins,
"Wilson, Justin",lhp,36,,MIL,LAN,0,,2024,,,,ACES,Mark Walter,AFriedman / BGomes,
"Winker, Jesse",dh-lf,30,,MIL,WAS,0,,2024,,,,MDR Spts,Mark Lerner,Mike Rizzo,
"Wong, Kolten",2b,33,,LAN,BAL,0,,2024,,,,PSI Sports,John Angelos,Mike Elias,
,,,,,,,,,,,,,,,
International,,,,,,,,,,,,,,,
"Ryu, Hyun Jin",lhp-s,37,,TOR,KBO,8,"$12,400,000 ",2024-27,,,,Boras Corp.,Hanwha Eagles,,
"VerHagen, Drew",rhp,33,,SLN,NPB,2,"$8,000,000 ",2024-25,,,,Vayner Spts,Nippon Ham Fighters,,"signed by Nippon Ham Fighters, 2 years/$8M (2024-25). May opt out after 2024"
,,,,,,,,,,,,,,,
Retired,,,,,,,,,,,,,,,
"Brantley, Michael",dh-lf,37,,HOU,retired,,,,,,,Excel,,,
"Cabrera, Miguel",dh-1b,41,,DET,retired,,,,,,,ISE,,,
"Calhoun, Kole",rf,36,,CLE,retired,,,,,,,PSI Spts,,,
"Donaldson, Josh",dh-3b,38,,MIL,retired,,,,,,,Vanguard Spts,,,
"Kennedy, Ian",rhp,38,,TEX,retired,,,,,,,Boras Corp.,,,
"Kluber, Corey",rhp-s,38,,BOS,retired,,,,,,,Wasserman,,,
"May, Trevor",rhp,34,,OAK,retired,,,,,,,VC Sports,,,
"McHugh, Collin",rhp,37,,ATL,retired,,,,,,,Moye Spts,,,
,,,,,,,,,,,,,,,
Remaining Free Agents,,,,,,,,,,,,,,,
"Loup, Aaron",lhp,36,,ANA,,,,,,,,Beverly Hills SC,,,
"Longoria, Evan",3b,38,,ARI,,,,,,,,TWC Spts,,,
"Melancon, Mark",rhp-c,38,,ARI,,,,,,,,ISE,,,
"Hand, Brad",lhp,34,,ATL,,,,,,,,Wasserman,,,
"Mondesi, Adalberto",ss,28,,BOS,,,,,,,,Octagon,,,
"Naquin, Tyler",rf,33,,CHA,,,,,,,,Excel,,,
"Boxberger, Brad",rhp,36,,CHN,,,,,,,,Paragon Spts,,,
"Boyd, Matt",lhp-s,33,,DET,,,,,,,,Boras Corp.,,,
"Greinke, Zack",rhp-s,40,,KCA,,,,,,,,Excel,,,
"Nelson, Jimmy",rhp,35,,LAN,,,,,,,,CAA,,,
"Reyes, Alex",rhp-s,29,,LAN,,,,,,,,Octagon,,,
"Urías, Julio",lhp-s,27,,LAN,,,,,,,,Boras Corp.,,,
"Ruf, Darin",1b-of,37,,MIL,,,,,,,,MDR Spts,,,
"McAllister, Zach",rhp,29,,NYA,,,,,,,,Excel,,,
"Rucinski, Drew",rhp,35,,OAK,,,,,,,,,,,
"Garcia, Jarlin",lhp,31,,PIT,,,,,,,,,,,
"Velasquez, Vince",rhp-s,32,,PIT,,,,,,,,CAA,,,
"Hill, Rich",lhp-s,44,,SDN,,,,,,,,ACES,,,
"Belt, Brandon",dh,37,,TOR,,,,,,,,Excel,,,
